name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;878;0;901;3091;1745;3091;1466;0
header;102;71;102;107;1721;107;1721;71
A;906;126;906;153;931;153;931;126
B;1334;223;1334;241;1348;241;1348;223
B;1150;404;1150;422;1164;422;1164;404
B;912;786;912;814;933;814;933;786
A;1246;930;1246;932;1248;932;1248;930
B;1444;946;1444;965;1458;965;1458;946
B;1323;1397;1323;1415;1337;1415;1337;1397
C;914;1444;914;1474;937;1474;937;1444
D;924;2110;924;2138;946;2138;946;2110
A;1214;2380;1214;2380;1214;2380;1214;2380
A;1116;2988;1116;2992;1119;2992;1119;2988
